id,gender,school,state
28564,Male,High school,South Dakota
28565,Female,University college,Florida
28566,Female,Graduate school,Montana
28567,Female,Middle school,Missouri
28568,Female,High school,Nevada
28569,Male,High school,Oregon
28570,Female,Middle school,New Hampshire
28571,Male,Technical college,New York
28572,Female,Corporate university,Arkansas
28573,Female,Graduate school,West Virginia
28574,Male,University college,Vermont
28575,Male,Technical college,Pennsylvania
28576,Male,High school,Iowa
28577,Male,Middle school,South Carolina
28578,Female,Technical college,New York
28579,Female,Gymnasium,North Dakota
28580,Male,University college,Georgia
28581,Female,Corporate university,Rhode Island
28582,Male,Junior college,Connecticut
28583,Male,University-preparatory school,New York
28584,Male,University college,Hawaii
28585,Female,Graduate school,Montana
28586,Male,Technical college,Florida
28587,Female,University college,Kentucky
28588,Female,High school,Alabama
28589,Female,Technical college,North Dakota
28590,Female,Gymnasium,Wisconsin
28591,Female,Junior college,California
28592,Male,Corporate university,Rhode Island
28593,Female,High school,Tennessee
28594,Female,Gymnasium,Oklahoma
28595,Male,Graduate school,Idaho
28596,Male,Graduate school,Delaware
28597,Female,Gymnasium,Maryland
28598,Female,Gymnasium,Virginia
28599,Female,Graduate school,Texas
28600,Female,University college,South Carolina
28601,Female,Gymnasium,Florida
28602,Male,Gymnasium,Utah
28603,Female,High school,Arkansas
28604,Male,Junior college,Florida
28605,Female,Middle school,Virginia
28606,Male,Public university,Virginia
28607,Female,Junior college,Minnesota
28608,Female,Junior college,Rhode Island
28609,Female,Technical college,Mississippi
28610,Male,University-preparatory school,Connecticut
28611,Female,Public university,Florida
28612,Female,Public university,Virginia
28613,Female,Technical college,Maryland
28614,Male,University college,Washington
28615,Female,Junior college,Nebraska
28616,Female,Gymnasium,New Hampshire
28617,Male,Technical college,Washington
28618,Female,Public university,Montana
28619,Male,Middle school,Washington
28620,Female,Junior college,New York
28621,Male,Technical college,Oklahoma
28622,Female,Graduate school,Oregon
28623,Male,Technical college,New Jersey
28624,Female,Public university,Tennessee
28625,Female,Gymnasium,Connecticut
28626,Male,Middle school,Arizona
28627,Female,Technical college,New Hampshire
28628,Male,Public university,North Carolina
28629,Female,Junior college,Wisconsin
28630,Male,Public university,Vermont
28631,Male,University college,Maine
28632,Male,Technical college,Washington
28633,Male,Junior college,Washington
28634,Male,Graduate school,Wyoming
28635,Male,Graduate school,South Dakota
28636,Male,Public university,South Dakota
28637,Female,University-preparatory school,New Hampshire
28638,Male,University college,Delaware
28639,Male,Graduate school,Minnesota
28640,Female,High school,Vermont
28641,Female,Middle school,Idaho
28642,Male,University college,Arkansas
28643,Female,Junior college,Montana
28644,Male,Graduate school,Iowa
28645,Female,Corporate university,South Carolina
28646,Male,University college,Hawaii
28647,Male,Corporate university,Oregon
28648,Female,University-preparatory school,New Jersey
28649,Male,Technical college,Mississippi
28650,Female,Gymnasium,Idaho
28651,Male,Middle school,Iowa
28652,Male,Gymnasium,Washington
28653,Female,Junior college,Pennsylvania
28654,Female,High school,Pennsylvania
28655,Female,High school,Mississippi
28656,Female,University college,South Dakota
28657,Female,Public university,Idaho
28658,Female,Junior college,New Hampshire
28659,Male,Technical college,Louisiana
28660,Female,Gymnasium,Ohio
28661,Male,High school,New Jersey
28662,Male,Corporate university,Pennsylvania
28663,Female,Public university,South Dakota
28664,Female,Corporate university,Missouri
28665,Female,Junior college,Pennsylvania
28666,Female,Gymnasium,North Dakota
28667,Female,Corporate university,Delaware
28668,Female,Graduate school,New Jersey
28669,Female,Public university,Washington
28670,Male,High school,Utah
28671,Female,University-preparatory school,Georgia
28672,Female,University-preparatory school,West Virginia
28673,Female,Technical college,Massachussets
28674,Male,Public university,Illinois
28675,Male,Corporate university,Tennessee
28676,Female,Gymnasium,Missouri
28677,Female,University college,Hawaii
28678,Male,Graduate school,Vermont
28679,Female,Corporate university,Wyoming
28680,Male,Technical college,Georgia
28681,Male,High school,Iowa
28682,Female,University college,Pennsylvania
28683,Male,Graduate school,North Carolina
28684,Female,Junior college,Alaska
28685,Female,Corporate university,Washington
28686,Female,Graduate school,New Jersey
28687,Male,Public university,Mississippi
28688,Female,Corporate university,Arizona
28689,Female,Corporate university,New Hampshire
28690,Male,University-preparatory school,Washington
28691,Male,Technical college,Alaska
28692,Female,Middle school,West Virginia
28693,Male,Junior college,Washington
28694,Male,Junior college,Maryland
28695,Male,Junior college,Maine
28696,Male,Technical college,South Dakota
28697,Female,Middle school,Texas
28698,Male,University-preparatory school,Alabama
28699,Male,University college,Kansas
28700,Male,University-preparatory school,Arkansas
28701,Female,Technical college,New Jersey
28702,Female,Public university,North Carolina
28703,Male,Middle school,Pennsylvania
28704,Male,University college,South Carolina
28705,Female,University college,Utah
28706,Female,Middle school,West Virginia
28707,Female,Technical college,Alabama
28708,Male,Junior college,Oklahoma
28709,Male,High school,Illinois
28710,Male,University college,North Dakota
28711,Female,Technical college,North Carolina
28712,Female,Middle school,Oregon
28713,Female,University-preparatory school,Kansas
28714,Male,Gymnasium,Nevada
28715,Female,Middle school,Ohio
28716,Male,High school,Delaware
28717,Female,Technical college,Michigan
28718,Female,Public university,Kentucky
28719,Male,University college,Ohio
28720,Male,University-preparatory school,Oklahoma
28721,Female,Graduate school,West Virginia
28722,Male,Gymnasium,New Hampshire
28723,Female,Junior college,North Carolina
28724,Female,Graduate school,West Virginia
28725,Male,University-preparatory school,New Jersey
28726,Female,Gymnasium,Georgia
28727,Female,Technical college,North Dakota
28728,Male,University-preparatory school,Georgia
28729,Male,Technical college,Kansas
28730,Female,Graduate school,New Hampshire
28731,Female,Junior college,South Carolina
28732,Female,Graduate school,Alaska
28733,Female,Technical college,Oregon
28734,Female,Gymnasium,New Mexico
28735,Male,Public university,Missouri
28736,Female,Corporate university,Oklahoma
28737,Female,Graduate school,Massachussets
28738,Female,Junior college,Rhode Island
28739,Male,University-preparatory school,Illinois
28740,Male,Middle school,Massachussets
28741,Female,Technical college,New Jersey
28742,Male,University college,Alabama
28743,Male,Middle school,Wisconsin
28744,Male,University-preparatory school,Rhode Island
28745,Female,Graduate school,South Dakota
28746,Male,Technical college,Wyoming
28747,Male,University college,Oklahoma
28748,Male,Junior college,Idaho
28749,Female,Technical college,Pennsylvania
28750,Female,Junior college,Arizona
28751,Male,Corporate university,South Carolina
28752,Female,Technical college,Delaware
28753,Female,Public university,Minnesota
28754,Male,Graduate school,Michigan
28755,Female,Public university,New Hampshire
28756,Female,University college,Texas
28757,Female,Gymnasium,Wisconsin
28758,Male,High school,New Jersey
28759,Female,Corporate university,Maine
28760,Male,University college,New Jersey
28761,Male,Corporate university,North Dakota
28762,Male,Middle school,Wyoming
28763,Male,Graduate school,Mississippi
28764,Female,University college,New Hampshire
28765,Male,High school,Arkansas
28766,Female,Technical college,Colorado
28767,Male,Junior college,Vermont
28768,Female,Gymnasium,Florida
28769,Male,Technical college,Utah
28770,Female,Technical college,Virginia
28771,Female,Middle school,Nevada
28772,Male,Public university,Pennsylvania
28773,Male,Technical college,Utah
28774,Female,Middle school,Arizona
28775,Female,High school,Rhode Island
28776,Male,Junior college,Utah
28777,Female,Junior college,Hawaii
28778,Male,Corporate university,Montana
28779,Female,Corporate university,Texas
28780,Male,University college,Wisconsin
28781,Male,Corporate university,Texas
28782,Male,Graduate school,Oregon
28783,Male,University-preparatory school,Rhode Island
28784,Male,Gymnasium,Illinois
28785,Female,University college,Rhode Island
28786,Female,Technical college,West Virginia
28787,Female,Graduate school,Louisiana
28788,Male,University college,South Dakota
28789,Male,Middle school,Maine
28790,Male,Corporate university,Ohio
28791,Male,Technical college,Maryland
28792,Male,University college,Georgia
28793,Female,Public university,New York
28794,Male,Gymnasium,Kansas
28795,Male,University-preparatory school,Nebraska
28796,Male,University-preparatory school,Minnesota
28797,Male,Gymnasium,Virginia
28798,Female,Technical college,Montana
28799,Female,University-preparatory school,New Hampshire
28800,Female,Gymnasium,Alaska
28801,Female,University college,Kansas
28802,Male,University college,Nebraska
28803,Female,Corporate university,Idaho
28804,Female,Technical college,New Hampshire
28805,Female,Corporate university,Virginia
28806,Male,Gymnasium,Arkansas
28807,Male,Gymnasium,California
28808,Male,Middle school,South Carolina
28809,Female,Middle school,Nebraska
28810,Male,University-preparatory school,Alaska
28811,Male,Graduate school,Idaho
28812,Female,Public university,Connecticut
28813,Female,Technical college,Kansas
28814,Male,Corporate university,Georgia
28815,Female,Junior college,Texas
28816,Female,University college,Idaho
28817,Male,University-preparatory school,South Dakota
28818,Male,Gymnasium,Rhode Island
28819,Female,Corporate university,Idaho
28820,Female,Public university,Montana
28821,Male,University college,Arkansas
28822,Male,Corporate university,Florida
28823,Male,University college,Arizona
28824,Male,Junior college,Texas
28825,Female,Middle school,Arizona
28826,Male,Public university,Kansas
28827,Male,Graduate school,Michigan
28828,Male,University-preparatory school,Minnesota
28829,Male,Middle school,Idaho
28830,Male,High school,Oregon
28831,Female,Public university,Tennessee
28832,Female,High school,Oklahoma
28833,Male,University-preparatory school,Massachussets
28834,Female,Technical college,West Virginia
28835,Male,High school,Connecticut
28836,Male,Gymnasium,Arizona
28837,Male,Middle school,Arizona
28838,Female,Public university,Alaska
28839,Male,Junior college,Minnesota
28840,Female,University-preparatory school,Connecticut
28841,Male,Middle school,South Dakota
28842,Male,University college,Iowa
28843,Female,Corporate university,New Hampshire
28844,Female,Public university,Minnesota
28845,Male,University-preparatory school,Nevada
28846,Male,Corporate university,Kentucky
28847,Female,High school,Indiana
28848,Male,Middle school,Florida
28849,Female,Gymnasium,Oregon
28850,Female,University college,Arizona
28851,Female,University-preparatory school,South Dakota
28852,Male,High school,North Dakota
28853,Male,University college,Oklahoma
28854,Male,Middle school,Maryland
28855,Female,Gymnasium,Georgia
28856,Male,Public university,Louisiana
28857,Male,University-preparatory school,Wisconsin
28858,Female,University-preparatory school,California
28859,Female,University-preparatory school,Louisiana
28860,Female,Gymnasium,North Carolina
28861,Male,High school,Delaware
28862,Male,Graduate school,Delaware
28863,Female,Public university,Louisiana
28864,Male,Middle school,Nebraska
28865,Male,Junior college,Alabama
28866,Female,Technical college,Montana
28867,Male,University-preparatory school,Delaware
28868,Male,Corporate university,Rhode Island
28869,Female,High school,Nevada
28870,Male,University-preparatory school,Minnesota
28871,Female,University-preparatory school,Iowa
28872,Female,Gymnasium,Kentucky
28873,Male,Technical college,Idaho
28874,Male,Graduate school,North Carolina
28875,Male,Corporate university,Florida
28876,Male,Technical college,New Jersey
28877,Female,Public university,Pennsylvania
28878,Male,Graduate school,Connecticut
28879,Female,University-preparatory school,Kansas
28880,Female,University college,Louisiana
28881,Male,High school,Georgia
28882,Male,University college,Virginia
28883,Male,Public university,Vermont
28884,Female,University college,New Jersey
28885,Male,Junior college,Ohio
28886,Male,Graduate school,South Dakota
28887,Male,Middle school,Montana
28888,Male,Graduate school,New Hampshire
28889,Female,High school,North Carolina
28890,Male,Public university,Tennessee
28891,Female,Graduate school,South Dakota
28892,Male,University-preparatory school,Arizona
28893,Female,Gymnasium,Nevada
28894,Male,University-preparatory school,Vermont
28895,Female,University-preparatory school,Wisconsin
28896,Female,Corporate university,Texas
28897,Male,University college,Hawaii
28898,Female,University college,Nebraska
28899,Male,University college,Louisiana
28900,Female,Junior college,Nebraska
28901,Male,University college,Rhode Island
28902,Male,Gymnasium,New York
28903,Male,Technical college,Louisiana
28904,Male,High school,Hawaii
28905,Male,Gymnasium,Nevada
28906,Female,University college,West Virginia
28907,Male,Junior college,Mississippi
28908,Female,Middle school,Indiana
28909,Male,Corporate university,Minnesota
28910,Male,High school,Vermont
28911,Male,Graduate school,North Carolina
28912,Male,Public university,Connecticut
28913,Male,Corporate university,Florida
28914,Male,Middle school,Colorado
28915,Male,High school,Hawaii
28916,Male,Graduate school,Nebraska
28917,Female,Gymnasium,Utah
28918,Female,Middle school,Massachussets
28919,Male,Technical college,Wisconsin
28920,Male,Technical college,Alaska
28921,Male,Gymnasium,Montana
28922,Male,Junior college,Minnesota
28923,Female,Graduate school,Tennessee
28924,Female,Public university,New Mexico
28925,Male,Public university,Idaho
28926,Female,Corporate university,New Jersey
28927,Female,Gymnasium,Missouri
28928,Male,Middle school,Michigan
28929,Female,Gymnasium,Iowa
28930,Female,Technical college,Louisiana
28931,Female,Corporate university,Idaho
28932,Female,Corporate university,Connecticut
28933,Female,University-preparatory school,Hawaii
28934,Male,Gymnasium,Montana
28935,Female,University college,Montana
28936,Female,Public university,California
28937,Female,High school,Mississippi
28938,Male,Corporate university,Iowa
28939,Male,High school,North Dakota
28940,Male,Corporate university,New Hampshire
28941,Male,University college,Wisconsin
28942,Female,Technical college,Alaska
28943,Male,University college,Pennsylvania
28944,Male,High school,Montana
28945,Female,Corporate university,Alaska
28946,Male,Middle school,South Dakota
28947,Female,Middle school,Missouri
28948,Male,High school,Montana
28949,Female,Gymnasium,Virginia
28950,Female,Technical college,Louisiana
28951,Male,Junior college,Nebraska
28952,Female,Technical college,Georgia
28953,Female,Middle school,Louisiana
28954,Female,Junior college,Wyoming
28955,Female,Graduate school,Missouri
28956,Male,Public university,Alaska
28957,Male,University-preparatory school,North Dakota
28958,Female,Public university,New Hampshire
28959,Female,University college,Ohio
28960,Female,Middle school,Connecticut
28961,Male,Gymnasium,Maryland
28962,Female,Graduate school,Kansas
28963,Female,Gymnasium,Michigan
28964,Female,High school,New Jersey
28965,Female,University-preparatory school,West Virginia
28966,Male,Technical college,New Jersey
28967,Male,Middle school,Minnesota
28968,Male,Public university,Colorado
28969,Male,Middle school,Idaho
28970,Female,University-preparatory school,Utah
28971,Male,Middle school,Georgia
28972,Male,University college,Colorado
28973,Male,Technical college,Montana
28974,Male,Technical college,New York
28975,Female,University college,Nebraska
28976,Male,Middle school,Minnesota
28977,Female,Graduate school,Kansas
28978,Male,Junior college,New Hampshire
28979,Male,University-preparatory school,Michigan
28980,Female,Public university,Oklahoma
28981,Female,Technical college,Wyoming
28982,Male,Middle school,Maryland
28983,Male,Gymnasium,Kentucky
28984,Male,Public university,Virginia
28985,Male,Middle school,Kentucky
28986,Male,University-preparatory school,Ohio
28987,Female,Middle school,New Hampshire
28988,Male,University-preparatory school,Alaska
28989,Female,Junior college,Oklahoma
28990,Male,Public university,Florida
28991,Female,Junior college,Kentucky
28992,Male,Graduate school,Vermont
28993,Male,Graduate school,Utah
28994,Female,University-preparatory school,Massachussets
28995,Male,Public university,Nevada
28996,Male,Graduate school,Indiana
28997,Male,University-preparatory school,Maine
28998,Male,Junior college,Wyoming
28999,Male,University-preparatory school,Louisiana
29000,Male,University college,Georgia
29001,Female,Public university,Wyoming
29002,Male,Graduate school,Texas
29003,Male,Corporate university,Ohio
29004,Female,Middle school,California
29005,Female,Junior college,North Carolina
29006,Female,Middle school,New Jersey
29007,Female,High school,Utah
29008,Male,Graduate school,Missouri
29009,Female,Gymnasium,California
29010,Male,Public university,Minnesota
29011,Male,University-preparatory school,Indiana
29012,Female,Public university,Georgia
29013,Male,Technical college,Hawaii
29014,Female,Graduate school,New York
29015,Male,University-preparatory school,Mississippi
29016,Female,University-preparatory school,Pennsylvania
29017,Female,Public university,Connecticut
29018,Female,Middle school,Louisiana
29019,Male,Technical college,Arkansas
29020,Female,University college,Ohio
29021,Female,University college,Connecticut
29022,Male,High school,Alaska
29023,Female,High school,Maine
29024,Male,University college,Missouri
29025,Female,Graduate school,Delaware
29026,Female,University-preparatory school,New Jersey
29027,Female,Graduate school,Nevada
29028,Male,Corporate university,New York
29029,Male,Middle school,Tennessee
29030,Female,University college,Idaho
29031,Female,Graduate school,New York
29032,Female,Middle school,Mississippi
29033,Female,High school,North Dakota
29034,Female,Technical college,Louisiana
29035,Female,University college,Oregon
29036,Female,Public university,Missouri
29037,Female,Middle school,Indiana
29038,Female,University-preparatory school,Kentucky
29039,Female,Public university,North Dakota
29040,Female,Technical college,Indiana
29041,Female,Middle school,New Hampshire
29042,Male,Gymnasium,Maryland
29043,Male,Gymnasium,New Mexico
29044,Male,Technical college,Connecticut
29045,Male,Graduate school,Hawaii
29046,Female,Graduate school,Wisconsin
29047,Female,Public university,Kansas
29048,Male,Junior college,Hawaii
29049,Female,Corporate university,Tennessee
29050,Male,Middle school,Georgia
29051,Male,University-preparatory school,Tennessee
29052,Male,Junior college,Wisconsin
29053,Female,High school,Arizona
29054,Female,Middle school,Utah
29055,Female,Graduate school,Missouri
29056,Female,Technical college,Idaho
29057,Female,Technical college,Pennsylvania
29058,Female,Corporate university,New Hampshire
29059,Male,Technical college,Mississippi
29060,Male,Graduate school,Louisiana
29061,Female,University-preparatory school,Montana
29062,Female,High school,Kentucky
29063,Female,Graduate school,Louisiana
29064,Male,Gymnasium,Mississippi
29065,Male,Public university,New Hampshire
29066,Female,University college,Oklahoma
29067,Male,High school,Tennessee
29068,Male,Gymnasium,New York
29069,Male,University college,Iowa
29070,Male,High school,Texas
29071,Female,Public university,South Carolina
29072,Female,University-preparatory school,Iowa
29073,Male,High school,Delaware
29074,Male,Middle school,Vermont
29075,Female,Corporate university,West Virginia
29076,Male,Corporate university,Maine
29077,Male,Middle school,Minnesota
29078,Female,Public university,New York
29079,Male,Graduate school,Alaska
29080,Female,University-preparatory school,Minnesota
29081,Female,Corporate university,Wyoming
29082,Male,Graduate school,Nevada
29083,Male,University-preparatory school,New Hampshire
29084,Female,Gymnasium,Nebraska
29085,Female,University college,Colorado
29086,Female,Junior college,Alaska
29087,Female,Gymnasium,Louisiana
29088,Female,Gymnasium,North Carolina
29089,Female,High school,Illinois
29090,Female,Gymnasium,Rhode Island
29091,Female,University college,Montana
29092,Female,Technical college,Michigan
29093,Female,Junior college,Georgia
29094,Male,Corporate university,Connecticut
29095,Male,Middle school,Florida
29096,Male,Gymnasium,Colorado
29097,Female,University college,Michigan
29098,Female,Corporate university,New Mexico
29099,Female,Public university,New Hampshire
29100,Male,Junior college,Arkansas
29101,Male,Technical college,Idaho
29102,Male,Middle school,Maine
29103,Female,Junior college,Wyoming
29104,Male,Public university,Virginia
29105,Female,Gymnasium,North Carolina
29106,Female,High school,Texas
29107,Male,Technical college,Vermont
29108,Female,High school,Oregon
29109,Female,Gymnasium,Nevada
29110,Male,Technical college,Nebraska
29111,Female,Graduate school,North Dakota
29112,Female,University-preparatory school,Iowa
29113,Female,University-preparatory school,Illinois
29114,Female,Graduate school,Minnesota
29115,Male,Public university,Utah
29116,Male,Technical college,Nebraska
29117,Male,Junior college,Nebraska
29118,Female,High school,South Dakota
29119,Female,University college,Alabama
29120,Female,Graduate school,Rhode Island
29121,Female,Public university,Louisiana
29122,Female,University college,Texas
29123,Male,Corporate university,Arkansas
29124,Male,Junior college,South Carolina
29125,Female,Corporate university,Minnesota
29126,Female,Technical college,Nebraska
29127,Male,High school,Arizona
29128,Female,Corporate university,Mississippi
29129,Male,Junior college,Indiana
29130,Female,Middle school,Pennsylvania
29131,Male,Gymnasium,Colorado
29132,Male,Graduate school,Massachussets
29133,Female,Public university,Maryland
29134,Male,University-preparatory school,Hawaii
29135,Male,Public university,Vermont
29136,Male,Gymnasium,Indiana
29137,Female,Corporate university,Ohio
29138,Male,Technical college,Wyoming
29139,Female,Middle school,Indiana
29140,Female,University-preparatory school,Utah
29141,Female,Junior college,Maryland
29142,Male,Graduate school,West Virginia
29143,Female,Graduate school,Kansas
29144,Male,University-preparatory school,Georgia
29145,Female,High school,North Dakota
29146,Male,Graduate school,Tennessee
29147,Female,University college,Illinois
29148,Female,University-preparatory school,Illinois
29149,Male,Junior college,Rhode Island
29150,Male,Public university,Indiana
29151,Male,University college,New Mexico
29152,Female,High school,South Dakota
29153,Female,University college,Oklahoma
29154,Male,Corporate university,Colorado
29155,Female,Middle school,Arizona
29156,Male,Middle school,Delaware
29157,Male,Gymnasium,New Mexico
29158,Male,University-preparatory school,California
29159,Female,University-preparatory school,Pennsylvania
29160,Male,Corporate university,South Dakota
29161,Female,High school,New York
29162,Female,Technical college,North Carolina
29163,Female,Corporate university,Arizona
29164,Female,Graduate school,Wisconsin
29165,Female,University-preparatory school,Missouri
29166,Male,Middle school,Vermont
29167,Male,University-preparatory school,North Carolina
29168,Male,High school,Wyoming
29169,Female,Technical college,West Virginia
29170,Male,High school,Colorado
29171,Male,University college,Kansas
29172,Male,Corporate university,Oregon
29173,Female,Gymnasium,South Carolina
29174,Female,University-preparatory school,Hawaii
29175,Male,Public university,Ohio
29176,Male,Junior college,Oklahoma
29177,Male,High school,Kentucky
29178,Male,High school,Iowa
29179,Male,University-preparatory school,Hawaii
29180,Female,Technical college,Wyoming
29181,Male,Public university,Michigan
29182,Male,High school,Connecticut
29183,Male,Technical college,Wyoming
29184,Female,University-preparatory school,Wisconsin
29185,Female,University-preparatory school,Alabama
29186,Female,Junior college,Ohio
29187,Female,Junior college,Maryland
29188,Male,Graduate school,Florida
29189,Female,Corporate university,Montana
29190,Female,Middle school,Oklahoma
29191,Male,Middle school,New Jersey
29192,Female,Corporate university,Iowa
29193,Female,University-preparatory school,Delaware
29194,Male,Corporate university,Virginia
29195,Female,Graduate school,Georgia
29196,Female,University college,Washington
29197,Female,Junior college,North Carolina
29198,Female,Graduate school,Iowa
29199,Female,University college,Ohio
29200,Male,Middle school,Utah
29201,Female,Junior college,Idaho
29202,Male,Technical college,Maryland
29203,Female,Junior college,Louisiana
29204,Male,Junior college,Idaho
29205,Male,University-preparatory school,Rhode Island
29206,Male,Gymnasium,Oklahoma
29207,Male,University college,North Dakota
29208,Female,Middle school,New Mexico
29209,Male,Junior college,Virginia
29210,Female,University college,Florida
29211,Male,High school,Oregon
29212,Female,Public university,Kentucky
29213,Male,Technical college,Iowa
29214,Female,Junior college,Florida
29215,Male,Gymnasium,South Dakota
29216,Female,University college,Mississippi
29217,Male,Technical college,New Mexico
29218,Male,Gymnasium,Texas
29219,Male,Junior college,South Carolina
29220,Male,Corporate university,Illinois
29221,Male,University-preparatory school,New Jersey
29222,Female,Middle school,New Jersey
29223,Male,Graduate school,Michigan
29224,Female,Corporate university,Idaho
29225,Female,Technical college,Maryland
29226,Male,Corporate university,Rhode Island
29227,Female,Public university,Kansas
29228,Female,University college,Maine
29229,Female,Middle school,New Mexico
29230,Male,University college,Wisconsin
29231,Male,Middle school,Florida
29232,Male,Gymnasium,Idaho
29233,Male,Junior college,Massachussets
29234,Male,Technical college,South Carolina
29235,Male,University college,North Dakota
29236,Female,Public university,Georgia
29237,Male,Graduate school,Nevada
29238,Male,Gymnasium,Washington
29239,Male,University college,Montana
29240,Female,Public university,New Mexico
29241,Female,Gymnasium,New York
29242,Female,High school,Pennsylvania
29243,Male,High school,Oregon
29244,Female,University-preparatory school,Maine
29245,Male,Public university,New York
29246,Female,University college,Wisconsin
29247,Female,Graduate school,Utah
29248,Female,University college,Rhode Island
29249,Male,Public university,Connecticut
29250,Female,High school,Oregon
29251,Female,Middle school,North Dakota
29252,Female,Corporate university,Nevada
29253,Female,University-preparatory school,Vermont
29254,Female,Corporate university,Alaska
29255,Male,Middle school,New Hampshire
29256,Female,High school,Connecticut
29257,Male,Gymnasium,Missouri
29258,Male,Technical college,Tennessee
29259,Female,Graduate school,Florida
29260,Female,High school,Connecticut
29261,Male,High school,Arizona
29262,Female,Middle school,Kansas
29263,Male,Corporate university,Alabama
29264,Male,Graduate school,Louisiana
29265,Female,Middle school,Hawaii
29266,Female,Graduate school,Missouri
29267,Female,Public university,Arkansas
29268,Male,Middle school,Alabama
29269,Male,University college,Arkansas
29270,Female,Corporate university,Georgia
29271,Male,Junior college,New Jersey
29272,Female,Junior college,New Jersey
29273,Male,Graduate school,Louisiana
29274,Male,University college,Massachussets
29275,Male,Junior college,Maryland
29276,Female,Public university,Connecticut
29277,Male,Junior college,Montana
29278,Male,Gymnasium,New Hampshire
29279,Female,University college,Nevada
29280,Female,Corporate university,Kansas
29281,Female,High school,Alaska
29282,Male,Junior college,Wyoming
29283,Male,Corporate university,Tennessee
29284,Female,University-preparatory school,Oregon
29285,Male,University-preparatory school,Minnesota
29286,Female,High school,Washington
29287,Female,Middle school,Ohio
29288,Male,Middle school,Nevada
29289,Female,Public university,Mississippi
29290,Female,Corporate university,West Virginia
29291,Male,High school,New Mexico
29292,Male,Corporate university,Rhode Island
29293,Female,University-preparatory school,Idaho
29294,Female,University-preparatory school,Utah
29295,Male,High school,Georgia
29296,Male,Public university,Wyoming
29297,Male,University college,Massachussets
29298,Male,Junior college,Colorado
29299,Female,University-preparatory school,Wisconsin
29300,Male,Graduate school,Wyoming
29301,Male,Technical college,Connecticut
29302,Male,University-preparatory school,North Dakota
29303,Female,Public university,Texas
29304,Male,Technical college,Vermont
29305,Male,Corporate university,Kansas
29306,Male,High school,Kansas
29307,Male,Middle school,Oklahoma
29308,Male,Corporate university,New York
29309,Male,Public university,Utah
29310,Female,University college,West Virginia
29311,Male,Corporate university,Rhode Island
29312,Female,Middle school,Idaho
29313,Female,University college,Connecticut
29314,Male,Graduate school,Washington
29315,Male,Corporate university,Connecticut
29316,Male,Middle school,Arizona
29317,Male,High school,Texas
29318,Female,High school,Connecticut
29319,Male,Graduate school,Arkansas
29320,Female,Public university,Georgia
29321,Female,Junior college,Utah
29322,Female,Public university,Nebraska
29323,Male,Graduate school,Ohio
29324,Male,University-preparatory school,New Mexico
29325,Female,Junior college,Michigan
29326,Female,Corporate university,Wisconsin
29327,Male,High school,New Jersey
29328,Male,Middle school,New Hampshire
29329,Male,Corporate university,Wyoming
29330,Male,Middle school,Colorado
29331,Female,University-preparatory school,Massachussets
29332,Male,University college,Oregon
29333,Female,Corporate university,Louisiana
29334,Female,High school,Washington
29335,Male,University-preparatory school,North Dakota
29336,Female,High school,New Mexico
29337,Female,Middle school,Alabama
29338,Male,Junior college,Hawaii
29339,Male,Middle school,New Mexico
29340,Male,Gymnasium,Colorado
29341,Male,Corporate university,Montana
29342,Female,University college,Virginia
29343,Male,University college,California
29344,Female,Gymnasium,North Dakota
29345,Male,High school,Kansas
29346,Male,High school,Arizona
29347,Male,University college,Tennessee
29348,Female,Graduate school,Colorado
29349,Female,Junior college,Washington
29350,Female,High school,Oregon
29351,Female,Middle school,New Hampshire
29352,Male,Gymnasium,Nevada
29353,Female,University college,Kentucky
29354,Female,Corporate university,New Mexico
29355,Female,Gymnasium,Utah
29356,Male,Gymnasium,Ohio
29357,Male,Gymnasium,Ohio
29358,Female,Junior college,Tennessee
29359,Male,Public university,Wyoming
29360,Female,Junior college,Nevada
29361,Male,Gymnasium,New Mexico
29362,Male,High school,California
29363,Female,Junior college,California
29364,Male,Middle school,Nebraska
29365,Female,University-preparatory school,Arizona
29366,Female,University college,Rhode Island
29367,Female,High school,Missouri
29368,Female,Middle school,Utah
29369,Female,Junior college,Vermont
29370,Female,Junior college,Texas
29371,Male,University college,New York
29372,Female,University-preparatory school,Delaware
29373,Female,High school,New Jersey
29374,Female,Junior college,Alabama
29375,Male,High school,Wisconsin
29376,Female,Gymnasium,Washington
29377,Female,Gymnasium,Indiana
29378,Male,University college,North Carolina
29379,Male,Technical college,Wyoming
29380,Male,Technical college,South Dakota
29381,Female,Graduate school,North Dakota
29382,Male,Gymnasium,Idaho
29383,Male,University college,Tennessee
29384,Female,High school,Indiana
29385,Male,Technical college,Massachussets
29386,Male,High school,New Hampshire
29387,Female,Middle school,Colorado
29388,Male,Graduate school,Mississippi
29389,Male,Middle school,Texas
29390,Female,Graduate school,Oklahoma
29391,Female,High school,Virginia
29392,Male,Junior college,North Carolina
29393,Female,Technical college,Vermont
29394,Female,Gymnasium,Mississippi
29395,Female,Gymnasium,Massachussets
29396,Male,Junior college,California
29397,Male,University-preparatory school,Kentucky
29398,Female,Middle school,New Jersey
29399,Female,Middle school,Minnesota
29400,Male,Middle school,Michigan
29401,Male,Public university,Texas
29402,Male,Corporate university,Indiana
29403,Female,High school,Maryland
29404,Female,University college,South Carolina
29405,Male,High school,Tennessee
